model,bin,mean_pred,obs_rate,n
M0_clinical,0,0.04326006135038232,0.07317073170731707,41
M0_clinical,1,0.10945102167186083,0.12195121951219512,41
M0_clinical,2,0.19520560653538122,0.14634146341463414,41
M0_clinical,3,0.3308996150228684,0.3902439024390244,41
M0_clinical,4,0.5678842868671741,0.5121951219512195,41
M1_iliopsoas,0,0.03718037724673937,0.0975609756097561,41
M1_iliopsoas,1,0.10541198794387696,0.12195121951219512,41
M1_iliopsoas,2,0.19234234591921975,0.12195121951219512,41
M1_iliopsoas,3,0.33029071533208515,0.4146341463414634,41
M1_iliopsoas,4,0.5798235970514478,0.4878048780487805,41
M2_multimuscle,0,0.028239415544352386,0.04878048780487805,41
M2_multimuscle,1,0.0996052190969653,0.12195121951219512,41
M2_multimuscle,2,0.18145070729554244,0.21951219512195122,41
M2_multimuscle,3,0.33102210255240005,0.34146341463414637,41
M2_multimuscle,4,0.5981128469182767,0.5121951219512195,41
