feature,OR_median,OR_lo,OR_hi,frac_protective,sign_consistency
age_yrs,1.6459866981768423,1.0082047182816092,2.966950177969039,0.022,0.978
female,1.221270750918523,0.7194941374946081,2.0611153707151755,0.24,0.76
asa,2.23992140612214,1.3380952957312047,4.347690797293645,0.0,1.0
num_level,1.6664077628797243,1.0800160187193815,2.9498013268893586,0.008,0.992
fusion,1.8612540368619208,1.1473558617725992,3.373108809292795,0.008,0.992
iliopsoas__vol_norm_vert,0.46557433594031905,0.18633484060650077,0.8655577983385732,0.99,0.99
deep_back__vol_norm_vert,1.8617633481274978,1.1146482262074127,3.735666544726584,0.014,0.986
gluteus_medius__vol_norm_vert,1.1163662061326258,0.5767343374134359,2.2598425010789103,0.352,0.648
iliopsoas__int_mean_mean,0.07737282536369086,0.0011313848043868879,0.44660194839683764,0.994,0.994
deep_back__int_mean_mean,3.808800911784375,0.7351448874352089,59.89561251797262,0.066,0.934
gluteus_medius__int_mean_mean,2.1236951030488393,0.2500823676264917,22.95503349841812,0.22,0.78
