feature,beta,OR_per_SD,ci_lo,ci_hi,p
age_yrs,0.5068791141414454,1.6601021126837032,1.0186769637923432,2.70541017662464,0.04192863699294225
female,0.19360424604399823,1.2136158946133495,0.7912399517378321,1.8614625518128243,0.3750338672623966
asa,0.7382836114074767,2.092341160223367,1.306590173247845,3.350623340356648,0.00211846199142148
num_level,0.4909172614721534,1.6338141676341345,1.0849761034500849,2.4602834346985456,0.018750531334267004
fusion,0.5641754142608136,1.7579975651678683,1.1777528812241125,2.6241119749364956,0.005771386994195802
iliopsoas__vol_norm_vert,-0.6616181128492165,0.5160156869745466,0.27728618745751593,0.9602793115852905,0.03680975120039192
deep_back__vol_norm_vert,0.5820102930210871,1.7896325027012971,1.073413874712276,2.9837368140815226,0.025641314409413748
gluteus_medius__vol_norm_vert,0.03571656607830898,1.036362064694739,0.6451481586748724,1.6648056957093735,0.8825885451049196
iliopsoas__int_mean_mean,-2.221183372764285,0.10848065978016154,0.017357217490411705,0.6779919392517809,0.017520403280225777
deep_back__int_mean_mean,1.28143797580713,3.6018153267844486,0.7884535399170016,16.453821298874512,0.09826827485625202
gluteus_medius__int_mean_mean,0.5552933997750805,1.7424521448506705,0.3032587942249819,10.011711234472063,0.5336366835967572
