,age_yrs,female,asa,num_level,fusion,iliopsoas__vol_norm_vert,deep_back__vol_norm_vert,gluteus_medius__vol_norm_vert,iliopsoas__int_mean_mean,deep_back__int_mean_mean,gluteus_medius__int_mean_mean
age_yrs,0.9999999999999999,0.0931401538032449,0.33454390444907145,0.20723636312109767,-0.07167028926281792,-0.32231836421584986,-0.2690346263051957,-0.20285034572968325,0.06334151992129038,0.15380425201015321,0.08688890394622664
female,0.0931401538032449,0.9999999999999998,-0.055226054302992406,0.12872781467883615,-0.05211597390484419,-0.36327978559628626,0.051840651958336294,-0.08340402667242679,0.08714568548142995,0.1314545585103681,0.09666698733327807
asa,0.33454390444907145,-0.055226054302992406,0.9999999999999998,0.3158329432950803,-0.1289557141440341,-0.20513995437470095,-0.15991723375663244,-0.1583579104968705,0.044259353237194335,0.04954780419030445,0.05665855848300949
num_level,0.20723636312109767,0.12872781467883615,0.3158329432950803,0.9999999999999999,-0.11852916790209411,-0.18388648151055859,-0.16455079315081098,-0.12264844566664278,-0.021356063012572767,0.009013404830679477,-0.023454224652818496
fusion,-0.07167028926281792,-0.05211597390484419,-0.1289557141440341,-0.1185291679020941,1.0,6.205168813902901e-05,0.05786942350528665,0.02075780430704865,0.011566101315153622,0.009148718217264274,0.03822177877603488
iliopsoas__vol_norm_vert,-0.3223183642158498,-0.36327978559628626,-0.20513995437470095,-0.18388648151055856,6.205168813902901e-05,1.0,0.5346710074332566,0.37119379282879406,-0.10654949082150583,-0.10134805353420646,-0.08692812100242985
deep_back__vol_norm_vert,-0.2690346263051957,0.051840651958336294,-0.15991723375663244,-0.16455079315081095,0.05786942350528665,0.5346710074332566,0.9999999999999999,0.12196157042909396,-0.03346369225027623,-0.019853888343230066,-0.012004611284339698
gluteus_medius__vol_norm_vert,-0.20285034572968322,-0.08340402667242677,-0.1583579104968705,-0.12264844566664279,0.02075780430704865,0.37119379282879406,0.12196157042909396,1.0,-0.1648364554487878,-0.2611263820521182,-0.22054393865486774
iliopsoas__int_mean_mean,0.06334151992129038,0.08714568548142995,0.044259353237194335,-0.021356063012572764,0.011566101315153622,-0.10654949082150583,-0.03346369225027623,-0.1648364554487878,0.9999999999999998,0.9079491209484206,0.9599580957443078
deep_back__int_mean_mean,0.1538042520101532,0.1314545585103681,0.049547804190304454,0.009013404830679477,0.009148718217264273,-0.10134805353420645,-0.019853888343230066,-0.26112638205211813,0.9079491209484205,1.0,0.9468753221295043
gluteus_medius__int_mean_mean,0.08688890394622666,0.09666698733327807,0.0566585584830095,-0.023454224652818496,0.03822177877603487,-0.08692812100242985,-0.012004611284339698,-0.22054393865486774,0.9599580957443078,0.9468753221295042,0.9999999999999999
