feature,n,events,OR_per_SD,ci_lo,ci_hi,p,p_fdr
iliopsoas__vol_norm_vert,205,51,0.5649769625626697,0.37770791898197503,0.8450947205101441,0.005449373470425536,0.049
gluteus_medius__int_mean_mean,133,34,0.5531412168729541,0.21949473860344346,1.3939523459670413,0.20924354785432864,0.9416
gluteus_medius__vol_norm_vert,136,35,0.7945865909348109,0.5183907976456094,1.2179379984384489,0.29134144029516296,0.874
iliopsoas__int_mean_mean,203,50,0.81574164869367,0.5456961855385091,1.2194229225861213,0.32078213425231716,0.7218
gluteus_medius__quality_svLM_mean,136,35,0.9041842802099598,0.636815866695427,1.2838078561409592,0.5733367296111624,1.0
deep_back__quality_svLM_mean,203,50,1.061341397571518,0.7455589022315062,1.510874001809298,0.7410948536487993,1.0
deep_back__vol_norm_vert,204,51,0.9611086450347432,0.6967431161015616,1.3257824960352698,0.8090133476371497,1.0
deep_back__int_mean_mean,202,50,1.0391202427162554,0.761137908373199,1.4186271199269442,0.8090931859905859,0.9102
iliopsoas__quality_svLM_mean,204,50,0.9872587017232521,0.7213267387283179,1.3512319616026143,0.9361720037347614,0.9362
